what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1366227260605
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1366227260605
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1366227260606
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1366227260607
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1366227260607
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1366227260608
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1366227260611
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1366227260612
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1366227260613
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1366227260614
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1366227260615
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1366227260616
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1366227260620
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1366227260621
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1366227260621
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1366227260622
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1366227260623
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1366227260624
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1366227260625
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1366227260625
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1366227260626
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1366227260627
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1366227260628
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1366227260628
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1366227260628
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1366227260629
os,sysinfo,,,"win32",1366227260633
arch,sysinfo,,,"x86",1366227260634
ws,sysinfo,,,"win32",1366227260634
locale,sysinfo,,,"en_US",1366227260634
processors,sysinfo,,,"4",1366227260634
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1366227260634
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1366227260634
java.specification.name,sysinfo,,,"Java Platform API Specification",1366227260634
java.specification.vendor,sysinfo,,,"Oracle Corporation",1366227260634
java.specification.version,sysinfo,,,"1.7",1366227260634
java.vendor,sysinfo,,,"Oracle Corporation",1366227260634
java.version,sysinfo,,,"1.7.0_17",1366227260634
java.vm.info,sysinfo,,,"mixed mode, sharing",1366227260634
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1366227260634
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1366227260634
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1366227260634
java.vm.specification.version,sysinfo,,,"1.7",1366227260634
java.vm.vendor,sysinfo,,,"Oracle Corporation",1366227260634
java.vm.version,sysinfo,,,"23.7-b01",1366227260634
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1366227260638
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1366227262633
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1366227262673
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1366227262700
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1366227262713
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1366227262751
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1366227264302
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1366227265443
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1366227266553
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1366227267237
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1366227267325
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366227272780
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366227276261
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1366227276661
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366227277868
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366227288657
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366227458147
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366227459823
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366227461305
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366227461733
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1366227462379
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1366227462640
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1366227462642
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1366227462643
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1366227462644
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1366227462645
